"","year_month_day","cluster.id","lon.wgs84","lat.wgs84"
"281","2018-04-21",100,36.899297,-1.322916
"282","2018-04-21",101,36.773503,-1.337985
"283","2018-04-21",102,36.860693,-1.25154
"284","2018-04-21",103,36.727525,-1.309401
"285","2018-04-22",72,36.864258,-1.296911
"286","2018-04-22",73,36.863703,-1.248256
"287","2018-04-22",75,36.82405,-1.299658
"288","2018-04-22",77,36.845087,-1.326599
"289","2018-04-22",78,36.9417466153846,-1.39717415384615
"290","2018-04-22",79,36.747995,-1.264258
"291","2018-04-22",80,36.891274,-1.309908
"292","2018-04-22",83,36.823595,-1.283412
"293","2018-04-22",87,36.856171,-1.255559
"294","2018-04-22",88,36.875587,-1.296988
"295","2018-04-22",90,36.913647,-1.20742
"296","2018-04-22",92,37.052225,-1.063856
"297","2018-04-22",93,36.795997,-1.265366
"298","2018-04-23",41,36.88814,-1.300899
"299","2018-04-23",44,36.845225,-1.259559
"300","2018-04-23",46,36.964048,-1.461077
"301","2018-04-23",55,36.867438,-1.244742
"302","2018-04-23",57,36.885708,-1.225242
"303","2018-04-24",5,36.83215,-1.269418
"304","2018-04-24",8,36.803244,-1.261731
"305","2018-04-24",25,36.873428,-1.232985
"306","2018-04-24",29,36.798903,-1.323424
"307","2018-04-24",31,36.7702985,-1.260292
"308","2018-04-24",35,36.8544874,-1.3289514
"309","2018-04-24",36,36.8868486666667,-1.33074966666667
"310","2018-04-24",37,36.860727,-1.251454
"311","2018-04-25",283,36.844091,-1.323342
"312","2018-04-25",286,36.810922,-1.281922
"313","2018-04-25",288,39.036457,-3.726119
"314","2018-04-25",291,36.826678,-1.299065
"315","2018-04-25",293,36.901726,-1.196031
"316","2018-04-25",296,36.892446,-1.218451
"317","2018-04-26",188,36.768446,-1.261236
"318","2018-04-26",212,36.776387,-1.3354515
"319","2018-04-26",219,36.9008295,-1.213937
"320","2018-04-26",243,36.826473,-1.304929
"321","2018-04-26",268,36.854803,-1.25698675
"322","2018-04-26",275,36.883282,-1.226215
